CodeJ;_2020;_2019;_2018;_2017;_2016;_2015;_2014;_2013;_2012;_2011;_2010
1HDG17;19.8;24.7;26.4;28.1;28;26.1;26.2;27.4;30.6;28.3;30.3
ESW/G;27.8;34.6;38.7;40.5;41.2;;;;;;
AD14;25.1;29.7;34;39.1;;;;;;;
AD7;28.2;33;39;42.9;;;;;;;
ADM58;18.6;23.1;23.2;27;27;25.1;28;26;29.6;29.5;28.9
AFR212;22.3;29;32.5;34.3;34;;;;;;
AL29;18.7;23.1;22.6;24.3;25.5;22.6;25;25;27.6;28.3;28
ALP17;18.7;24.1;25.3;28.1;27;31.1;27.2;28.8;30.4;;
AMS13;24.8;33.5;34.8;37.4;;;;;;;
AMS45;23.7;29.2;32.1;32.6;;;;;;;
AMS46;23.5;31.9;34.8;34.7;35.9;34.5;35.8;;;39.5;39.8
AV9;17.3;23.2;26;27;27.2;26.8;26.1;26.3;;;34.4
AVW211;22.1;27.6;28.9;32.5;37.5;35.6;38.2;38.3;39.8;38.7;42.4
AVW390;30.2;38.2;40.2;50.4;49.6;46.8;47.5;47.1;50.7;50.6;50
AVW761;27.4;35.8;37.8;46.3;46.6;39.7;41.4;45;43.4;46.5;49.6
BAN8;17.8;21.9;23.3;25.4;25.9;24.9;26.6;26.4;29.3;28.2;29.8
BIJL738;28.3;33.8;35.6;37.9;39.2;35.8;37.4;37.6;40.7;41.9;42.3
BIN37;20;26.4;30.4;30.7;31.5;30.5;32.2;32.4;32.8;33.4;34.8
BLM93;20.5;26.7;30.8;31.1;30.2;29.2;31.8;31.1;33;32.4;33.8
BOR143;18.8;22.9;23.5;25.7;26.9;25.9;29;28.6;29.5;;29
BOR79;24;29.2;31.4;34.5;37.4;34.2;36.8;35.3;37.4;37.4;38.9
BRAN4;22;27.6;27.5;32.3;30.7;31.2;31.4;30.9;34.8;35.7;36.3
BS19;24.5;34.3;38.4;;42.7;42.6;43.7;42.1;43.4;43.2;44.6
CCL137;23.3;29.7;29.5;34.2;32.9;31.4;32.1;30.5;36;35.5;36
CHL10;21.2;24.9;28.1;28.4;28.9;28.4;29.6;;;;
COBA10;16;19.3;20.5;22.1;23.1;22.1;23.1;23.7;24.4;24.6;26.8
CON;23;32.3;33.7;37.2;36.3;;;;;;
CVT9;17.8;20.6;21.3;25.2;25.1;23.2;26.9;25.4;26.5;;26.1
DAM23;26;38.7;43.7;50.1;47.2;45.3;46.7;46.4;48.8;;
DAM 243;21.3;31.5;35.6;39.3;39.7;39.7;;49.8;50.3;50.7;49.9
DECL110;25.6;33.3;30.3;38.1;40.7;36.9;38.7;39;40.3;40.7;43.2
DECL40;23.6;31.6;29.6;38.4;42.1;38.5;39.5;38;39.7;40.6;43.4
